CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/18/2016,20:30,QUEENS,11354,,,,38 AVENUE                       ,BOWNE STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3426100,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,22:00,STATEN ISLAND,10304,,,,SHERIDAN AVENUE                 ,GILES PLACE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3430413,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,22:00,QUEENS,11419,40.687706,-73.81915,"(40.687706, -73.81915)",,,104-76    125 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3424394,,,,,
03/18/2016,10:15,,,40.717915,-73.783806,"(40.717915, -73.783806)",,,HENLEY ROAD                             ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3424920,4 dr sedan,UNKNO,,,
03/18/2016,7:15,QUEENS,11434,40.678486,-73.774025,"(40.678486, -73.774025)",,,168-20    127 AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3428207,Station Wagon/Sport Utility Vehicle,,,,
03/18/2016,16:11,,,40.604195,-73.97218,"(40.604195, -73.97218)",,,MC DONALD AVENUE                        ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Passing or Lane Usage Improper,,,,3414764,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,15:30,BROOKLYN,11219,40.63063,-74.00923,"(40.63063, -74.00923)",FORT HAMILTON PARKWAY           ,65 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3416647,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,14:55,,,,,,,,26        richmond hill rs              ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3429938,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,23:00,BROOKLYN,11207,,,,BLAKE AVENUE                    ,SCHENCK AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Passing Too Closely,,,,3418556,4 dr sedan,4 dr sedan,,,
03/18/2016,17:28,BROOKLYN,11210,,,,FLATBUSH AVENUE                 ,AVENUE H,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3417275,4 dr sedan,4 dr sedan,,,
03/18/2016,11:50,BROOKLYN,11213,40.678402,-73.93577,"(40.678402, -73.93577)",,,35        TROY AVENUE                   ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3420252,Bus,Bus,,,
