CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/07/2016,14:30,MANHATTAN,10024,40.7876856,-73.9750141,"(40.7876856, -73.9750141)",WEST 86 STREET                  ,AMSTERDAM AVENUE                ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3385001,PASSENGER VEHICLE,,,,
02/07/2016,18:30,BROOKLYN,11223,40.6010012,-73.9793801,"(40.6010012, -73.9793801)",WEST 7 STREET                   ,AVENUE S                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385669,PASSENGER VEHICLE,UNKNOWN,,,
02/07/2016,10:30,,,,,,JEWEL AVENUE                    ,PARK DRIVE EAST                 ,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3385288,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,11:45,BRONX,10467,40.8827095,-73.8812458,"(40.8827095, -73.8812458)",WEST GUN HILL ROAD              ,JEROME AVENUE                   ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3385078,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,19:00,,,40.842052,-73.8379084,"(40.842052, -73.8379084)",,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,,,3385050,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
02/07/2016,2:00,QUEENS,11385,40.7001228,-73.9062104,"(40.7001228, -73.9062104)",MYRTLE AVENUE                   ,CYPRESS AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385239,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/07/2016,1:02,BROOKLYN,11204,40.6207124,-73.985087,"(40.6207124, -73.985087)",60 STREET                       ,19 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3385111,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/07/2016,9:40,MANHATTAN,10016,40.746417,-73.9818325,"(40.746417, -73.9818325)",EAST 33 STREET                  ,PARK AVENUE                     ,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3384975,TAXI,TAXI,,,
02/07/2016,16:45,BRONX,10467,40.8802847,-73.8826858,"(40.8802847, -73.8826858)",DEKALB AVENUE                   ,EAST 208 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385638,OTHER,SPORT UTILITY / STATION WAGON,,,
02/07/2016,14:45,,,40.5843704,-73.9270904,"(40.5843704, -73.9270904)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3385086,PASSENGER VEHICLE,PASSENGER VEHICLE,UNKNOWN,,
02/07/2016,4:20,QUEENS,11434,40.6724613,-73.7826385,"(40.6724613, -73.7826385)",132 AVENUE                      ,155 STREET                      ,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3385364,PASSENGER VEHICLE,,,,
02/07/2016,9:50,QUEENS,11373,40.7329048,-73.8863839,"(40.7329048, -73.8863839)",79 STREET                       ,ELKS ROAD                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3385329,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,
02/07/2016,1:20,,,40.5945547,-73.997568,"(40.5945547, -73.997568)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3385662,MOTORCYCLE,UNKNOWN,,,
02/07/2016,13:08,MANHATTAN,10011,40.7404431,-74.0020208,"(40.7404431, -74.0020208)",8 AVENUE                        ,WEST 15 STREET                  ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3384963,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/07/2016,23:59,MANHATTAN,10033,40.8523387,-73.935716,"(40.8523387, -73.935716)",BENNETT AVENUE                  ,WEST 184 STREET                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3386681,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/07/2016,6:35,,,,,,JUNCTION BOULEVARD              ,41 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3386461,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/07/2016,3:45,QUEENS,11433,40.7078931,-73.7867214,"(40.7078931, -73.7867214)",173 STREET                      ,JAMAICA AVENUE                  ,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,3385223,PASSENGER VEHICLE,UNKNOWN,,,
02/07/2016,13:45,BROOKLYN,11206,40.6998336,-73.936963,"(40.6998336, -73.936963)",LOCUST STREET                   ,BEAVER STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385784,VAN,OTHER,,,
02/07/2016,18:16,MANHATTAN,10029,40.7899496,-73.9429266,"(40.7899496, -73.9429266)",2 AVENUE                        ,EAST 105 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385529,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/07/2016,15:45,,,40.842052,-73.8379084,"(40.842052, -73.8379084)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3385609,PASSENGER VEHICLE,,,,
02/07/2016,0:25,,,40.731493,-73.8421408,"(40.731493, -73.8421408)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385330,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,9:18,BROOKLYN,11207,40.6772073,-73.897226,"(40.6772073, -73.897226)",FULTON STREET                   ,PENNSYLVANIA AVENUE             ,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3385175,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/07/2016,5:39,BROOKLYN,11206,40.6969863,-73.9352238,"(40.6969863, -73.9352238)",BROADWAY                        ,MYRTLE AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3385780,LIVERY VEHICLE,SPORT UTILITY / STATION WAGON,BUS,,
02/07/2016,19:14,MANHATTAN,10034,40.8717676,-73.9133662,"(40.8717676, -73.9133662)",WEST 219 STREET                 ,BROADWAY                        ,,0,0,0,0,0,0,0,0,Other Electronic Device,Other Electronic Device,,,,3385566,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/07/2016,19:55,BROOKLYN,11220,40.6309121,-74.0143208,"(40.6309121, -74.0143208)",8 AVENUE                        ,68 STREET                       ,,0,0,0,0,0,0,0,0,,,,,,3385702,SMALL COM VEH(4 TIRES) ,SPORT UTILITY / STATION WAGON,,,
02/07/2016,19:50,BRONX,10467,40.8696035,-73.8614338,"(40.8696035, -73.8614338)",BRONXWOOD AVENUE                ,ADEE AVENUE                     ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3385066,SPORT UTILITY / STATION WAGON,,,,
02/07/2016,14:50,BROOKLYN,11224,40.5798042,-73.9718339,"(40.5798042, -73.9718339)",NEPTUNE AVENUE                  ,WEST 5 STREET                   ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3385649,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/07/2016,1:50,BROOKLYN,11237,40.7036676,-73.9268932,"(40.7036676, -73.9268932)",KNICKERBOCKER AVENUE            ,JEFFERSON STREET                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385203,LIVERY VEHICLE,PASSENGER VEHICLE,,,
02/07/2016,14:00,,,,,,,,P/L OF 200 PENN AVENUE                  ,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3385989,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/07/2016,20:55,,,40.7686435,-73.9490277,"(40.7686435, -73.9490277)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384993,PASSENGER VEHICLE,UNKNOWN,,,
